100 instancias de tamaño n = 100 y k = 90 
Tiempo minimo: 0.503394, Tiempo promedio: 0.506132
Tiempo minimo: 0.501864, Tiempo promedio: 0.503661
Tiempo minimo: 0.502197, Tiempo promedio: 0.504094
Tiempo minimo: 0.499384, Tiempo promedio: 0.502900
Tiempo minimo: 0.500186, Tiempo promedio: 0.503060
Tiempo minimo: 0.500876, Tiempo promedio: 0.503611
Tiempo minimo: 0.500664, Tiempo promedio: 0.503614
Tiempo minimo: 0.501234, Tiempo promedio: 0.503606
Tiempo minimo: 0.501346, Tiempo promedio: 0.503958
Tiempo minimo: 0.500822, Tiempo promedio: 0.503033
Tiempo minimo: 0.500866, Tiempo promedio: 0.502751
Tiempo minimo: 0.502899, Tiempo promedio: 0.504947
Tiempo minimo: 0.501982, Tiempo promedio: 0.504112
Tiempo minimo: 0.500643, Tiempo promedio: 0.504471
Tiempo minimo: 0.500390, Tiempo promedio: 0.503518
Tiempo minimo: 0.502103, Tiempo promedio: 0.504516
Tiempo minimo: 0.500194, Tiempo promedio: 0.502952
Tiempo minimo: 0.500766, Tiempo promedio: 0.503220
Tiempo minimo: 0.500930, Tiempo promedio: 0.503455
Tiempo minimo: 0.501372, Tiempo promedio: 0.503312
Tiempo minimo: 0.500009, Tiempo promedio: 0.503151
Tiempo minimo: 0.499060, Tiempo promedio: 0.502274
Tiempo minimo: 0.498915, Tiempo promedio: 0.501219
Tiempo minimo: 0.500791, Tiempo promedio: 0.503095
Tiempo minimo: 0.500601, Tiempo promedio: 0.503082
Tiempo minimo: 0.500732, Tiempo promedio: 0.503313
Tiempo minimo: 0.500162, Tiempo promedio: 0.502926
Tiempo minimo: 0.499496, Tiempo promedio: 0.502426
Tiempo minimo: 0.499198, Tiempo promedio: 0.502023
Tiempo minimo: 0.500833, Tiempo promedio: 0.502988
Tiempo minimo: 0.501091, Tiempo promedio: 0.502672
Tiempo minimo: 0.501243, Tiempo promedio: 0.504023
Tiempo minimo: 0.501214, Tiempo promedio: 0.503165
Tiempo minimo: 0.501111, Tiempo promedio: 0.503589
Tiempo minimo: 0.501817, Tiempo promedio: 0.504154
Tiempo minimo: 0.500697, Tiempo promedio: 0.503041
Tiempo minimo: 0.499765, Tiempo promedio: 0.502174
Tiempo minimo: 0.499005, Tiempo promedio: 0.501380
Tiempo minimo: 0.501506, Tiempo promedio: 0.504453
Tiempo minimo: 0.501431, Tiempo promedio: 0.503528
Tiempo minimo: 0.502574, Tiempo promedio: 0.504711
Tiempo minimo: 0.500866, Tiempo promedio: 0.503821
Tiempo minimo: 0.502339, Tiempo promedio: 0.504318
Tiempo minimo: 0.499360, Tiempo promedio: 0.502842
Tiempo minimo: 0.500653, Tiempo promedio: 0.502670
Tiempo minimo: 0.500176, Tiempo promedio: 0.502995
Tiempo minimo: 0.500621, Tiempo promedio: 0.502871
Tiempo minimo: 0.499674, Tiempo promedio: 0.502266
Tiempo minimo: 0.500540, Tiempo promedio: 0.502606
Tiempo minimo: 0.500942, Tiempo promedio: 0.503639
