50 instancias de tamaño n = 1000 y k = 10 
Tiempo minimo: 5.479997, Tiempo promedio: 5.590839
Tiempo minimo: 5.573540, Tiempo promedio: 5.613443
Tiempo minimo: 5.609806, Tiempo promedio: 5.628332
Tiempo minimo: 5.578993, Tiempo promedio: 5.598210
Tiempo minimo: 5.615892, Tiempo promedio: 5.638456
Tiempo minimo: 5.658414, Tiempo promedio: 5.675263
Tiempo minimo: 5.645155, Tiempo promedio: 5.667157
Tiempo minimo: 5.658455, Tiempo promedio: 5.673691
Tiempo minimo: 5.692688, Tiempo promedio: 5.712939
Tiempo minimo: 5.624651, Tiempo promedio: 5.644814
Tiempo minimo: 5.663650, Tiempo promedio: 5.677298
Tiempo minimo: 5.629189, Tiempo promedio: 5.643421
Tiempo minimo: 5.669056, Tiempo promedio: 5.679147
Tiempo minimo: 5.645011, Tiempo promedio: 5.661837
Tiempo minimo: 5.659625, Tiempo promedio: 5.676789
Tiempo minimo: 5.686090, Tiempo promedio: 5.701300
Tiempo minimo: 5.664333, Tiempo promedio: 5.690512
Tiempo minimo: 5.672936, Tiempo promedio: 5.689248
Tiempo minimo: 5.657796, Tiempo promedio: 5.695694
Tiempo minimo: 5.652288, Tiempo promedio: 5.663597
Tiempo minimo: 5.701299, Tiempo promedio: 5.717900
Tiempo minimo: 5.660858, Tiempo promedio: 5.682923
Tiempo minimo: 5.673033, Tiempo promedio: 5.691676
Tiempo minimo: 5.666871, Tiempo promedio: 5.683239
Tiempo minimo: 5.684083, Tiempo promedio: 5.700796
Tiempo minimo: 5.697216, Tiempo promedio: 5.711290
Tiempo minimo: 5.691862, Tiempo promedio: 5.705250
Tiempo minimo: 5.673795, Tiempo promedio: 5.685580
Tiempo minimo: 5.710934, Tiempo promedio: 5.726648
Tiempo minimo: 5.680755, Tiempo promedio: 5.703725
Tiempo minimo: 5.670394, Tiempo promedio: 5.690723
Tiempo minimo: 5.698476, Tiempo promedio: 5.721458
Tiempo minimo: 5.701088, Tiempo promedio: 5.718540
Tiempo minimo: 5.697189, Tiempo promedio: 5.719114
Tiempo minimo: 5.707157, Tiempo promedio: 5.721591
Tiempo minimo: 5.683011, Tiempo promedio: 5.713521
Tiempo minimo: 5.675119, Tiempo promedio: 5.683743
Tiempo minimo: 5.666191, Tiempo promedio: 5.686267
Tiempo minimo: 5.656212, Tiempo promedio: 5.665599
Tiempo minimo: 5.662321, Tiempo promedio: 5.673060
Tiempo minimo: 5.640745, Tiempo promedio: 5.657712
Tiempo minimo: 5.650587, Tiempo promedio: 5.665976
Tiempo minimo: 5.666182, Tiempo promedio: 5.676938
Tiempo minimo: 5.686783, Tiempo promedio: 5.704978
Tiempo minimo: 5.690414, Tiempo promedio: 5.712277
Tiempo minimo: 5.686437, Tiempo promedio: 5.706108
Tiempo minimo: 5.702624, Tiempo promedio: 5.710108
Tiempo minimo: 5.693752, Tiempo promedio: 5.713423
Tiempo minimo: 5.683099, Tiempo promedio: 5.700333
Tiempo minimo: 5.693904, Tiempo promedio: 5.712610
Promedio de tiempos minimos: 5.663799
