900 2728
1015 73 37
253 65 91
1149 5 58
2219 56 7
1490 7 65
92 10 76
1325 83 40
2362 66 97
668 66 4
2768 81 10
2283 96 88
1561 99 87
503 96 97
1702 58 71
510 36 11
805 21 41
1834 77 29
835 47 85
576 75 54
1714 41 12
40 31 17
2728 21 87
2496 75 77
1512 93 84
235 8 4
2101 37 60
1307 78 65
2710 88 77
1246 48 69
520 58 26
2596 63 69
1843 48 12
1384 27 28
1165 62 99
587 4 43
410 24 76
2734 96 95
1031 83 21
779 3 12
2315 23 94
1251 38 67
197 55 83
1835 84 46
231 55 34
1428 70 47
1294 73 36
2474 39 20
543 33 15
2607 34 77
2151 6 64
217 73 52
29 45 12
2314 5 47
1263 99 65
2707 6 52
853 37 18
1895 82 37
1181 39 92
969 67 86
1742 21 33
454 93 14
1232 92 22
300 53 10
1418 92 16
526 79 17
1874 39 24
207 43 100
2548 52 67
63 83 88
1475 28 65
1272 67 90
671 46 27
153 94 41
1515 4 23
11 20 32
2781 43 56
191 86 96
1952 14 76
1057 67 25
1765 26 21
2565 100 66
969 78 54
2488 71 14
2162 36 35
1361 52 42
1515 9 98
1329 95 90
1067 19 36
1454 9 18
2134 96 73
800 50 61
2229 8 100
120 57 18
391 42 36
1066 31 42
2146 36 28
1508 1 85
634 90 58
2746 32 88
446 70 89
1257 6 8
1410 96 66
410 44 91
2820 83 41
969 100 92
2762 91 30
674 43 42
284 14 30
776 42 9
2627 91 19
2153 61 80
709 44 53
2731 79 92
475 63 82
475 15 82
489 16 8
1456 73 30
1447 32 46
784 65 9
366 49 73
2184 62 77
276 70 58
1088 82 34
424 6 80
1209 73 67
1467 97 4
2599 30 62
2351 6 63
2194 11 37
1998 55 98
276 54 27
1135 4 91
2115 66 78
837 25 56
853 95 14
493 60 87
394 28 72
409 43 35
685 80 91
1448 31 76
747 15 74
1942 68 89
2397 75 47
1780 7 23
2031 84 79
1335 33 89
1191 19 79
446 84 38
1594 4 76
2227 18 97
2650 98 91
2468 63 100
1851 24 37
2684 14 47
2628 52 75
1029 90 50
466 76 69
836 74 41
677 38 87
1627 59 69
1830 50 89
2358 30 99
1985 4 44
741 71 2
494 66 76
2367 16 31
1759 38 72
1392 43 18
1401 59 42
1892 69 68
1865 97 23
1324 88 24
2262 9 86
1874 28 30
2740 8 41
2601 33 80
807 10 98
1088 46 10
1652 57 98
641 57 63
422 49 51
95 53 52
1018 30 76
1617 92 37
2316 19 93
2521 20 7
1029 50 80
739 91 8
2417 46 60
577 8 33
362 52 1
590 5 22
1903 59 63
1159 59 21
2483 82 98
2609 74 20
2060 54 55
865 36 85
1531 72 56
1294 76 6
817 24 46
609 10 43
69 74 63
2623 87 47
453 35 1
717 64 87
1016 10 16
719 22 50
1159 53 33
1372 44 59
2005 48 82
1209 89 40
885 93 5
968 18 95
