100 4950
2658 90 25
1937 56 4
3294 91 28
4124 3 74
2601 95 35
866 31 85
4235 56 19
1955 25 17
17 6 22
2375 12 77
1695 96 20
896 71 26
4970 41 99
3428 97 15
4932 59 95
2106 71 14
688 83 67
725 76 72
2508 97 21
3424 48 75
2600 100 89
4298 22 50
4368 98 43
4047 57 5
4326 8 38
993 84 31
2953 57 82
4724 33 90
829 21 27
2070 88 82
4049 11 29
4442 100 5
2145 44 20
4705 68 78
247 65 93
506 81 53
771 36 74
959 68 80
1730 27 20
4784 13 55
2201 41 88
2931 73 27
657 81 100
3282 99 74
1245 74 5
1380 4 25
2245 95 77
990 96 8
2989 93 57
4378 4 71
3448 5 80
2992 50 24
3942 22 31
736 91 83
1190 17 6
1892 48 42
852 79 87
440 100 29
1478 20 40
2171 80 55
1250 75 60
4541 5 49
2750 69 48
3336 12 6
759 1 51
4408 78 56
2001 80 21
550 50 15
4873 50 73
564 22 70
4211 23 55
2527 10 22
4108 21 77
1364 61 42
3541 79 89
3930 44 22
2911 22 54
4749 6 46
1547 61 71
557 58 27
1627 30 4
4003 14 21
346 30 62
2911 67 84
1312 74 85
2026 8 51
1166 60 98
1259 46 25
2477 40 99
4359 3 62
3794 14 13
513 50 52
898 48 35
139 35 77
4148 64 96
2764 24 68
2089 93 10
2406 59 1
1780 79 94
3619 36 27
65 50 6
3987 75 51
1162 71 55
4570 62 60
1089 31 64
1799 63 96
823 47 18
3629 53 92
4777 80 26
304 4 61
870 57 56
4159 61 23
2603 49 83
1872 35 23
1454 15 7
4884 38 65
502 8 44
4546 73 62
2307 62 70
4099 69 97
2901 68 38
1071 11 27
1908 4 60
2637 72 51
964 86 1
2550 30 77
2171 75 98
3837 88 73
3389 30 53
3617 7 77
1796 20 90
2052 80 38
3211 30 40
85 5 69
2058 25 52
543 29 13
3720 49 6
4260 86 13
54 35 45
3959 80 19
1368 47 91
3899 21 4
3546 100 60
2530 86 76
95 69 49
1361 29 3
4419 13 46
3989 19 45
751 1 9
1913 96 84
1925 26 92
2329 93 33
4966 7 27
4335 58 31
3814 61 2
4231 59 10
1463 97 92
542 57 89
3447 37 83
2220 82 9
3570 36 70
3485 60 48
1393 27 55
3075 59 39
2893 51 60
1239 50 8
4545 18 96
1875 42 23
1121 31 9
883 55 81
4786 86 81
2212 24 29
435 18 28
3637 16 29
3894 60 83
1775 53 13
1638 81 56
2533 24 47
4524 62 16
4533 10 6
2144 74 37
4967 100 61
1729 24 85
686 1 14
4122 86 96
3214 45 94
2057 82 15
4556 28 27
2419 91 48
1768 37 32
4197 71 25
717 19 22
1350 84 85
4553 84 75
3686 61 32
2912 96 81
2381 49 70
165 56 49
3154 59 67
4183 67 94
4700 12 22
3286 43 64
611 56 93
2899 2 34
51 64 99
2555 16 36
515 96 52
2286 26 9
2408 27 66
537 3 92
907 40 7
914 4 86
2939 94 53
4454 41 66
1094 54 6
242 35 27
3556 91 37
3284 96 95
3373 19 75
1814 32 12
275 7 52
2394 54 10
343 1 25
1101 53 38
331 44 90
2121 58 77
2704 53 46
2168 71 52
2834 71 75
4346 51 37
1117 61 97
811 94 32
1342 88 32
1103 72 32
1775 89 43
2058 73 39
4698 79 67
980 67 35
4150 73 80
2425 24 3
3482 85 56
1715 36 99
4076 80 98
1796 62 51
2534 98 32
3976 89 50
4012 71 17
4698 9 37
2040 58 22
3588 84 97
1701 30 26
254 72 58
1337 48 77
2607 79 15
3225 31 86
555 34 26
822 89 34
4369 33 36
2210 80 52
1542 78 88
1215 91 49
121 67 85
3727 46 35
3791 49 20
3244 17 90
318 2 4
4363 89 24
3630 82 7
903 99 30
1385 6 81
2940 13 4
353 69 75
1211 95 98
1294 91 72
1051 18 35
2569 33 16
1260 59 28
943 35 57
921 40 8
1178 64 46
3611 48 57
887 39 70
4692 77 11
534 12 33
3708 18 71
397 48 20
1356 35 64
2716 18 27
3819 94 1
1302 77 50
4510 56 33
817 38 98
275 49 53
3172 31 91
3533 82 94
2620 100 93
1729 62 21
2415 82 25
85 23 93
1260 64 30
2657 33 9
2116 63 40
1644 77 25
2542 38 37
4512 80 82
2397 100 25
3575 93 99
411 87 71
4167 21 99
3800 11 16
2692 68 42
3986 77 61
3448 34 43
2722 51 58
4153 25 97
126 27 6
1568 64 61
722 51 19
4764 45 15
992 87 77
3117 52 26
386 71 38
493 68 76
1117 78 27
1750 3 56
3053 14 43
2797 76 98
