10 10
15 105 8
9 4 43
4 12 70
8 7 54
8 11 99
15 5 7
6 15 70
15 9 1
10 3 36
8 10 60
6 3 19
7 4 80
13 14 100
6 11 56
4 1 80
1 14 6
12 6 40
5 13 44
7 14 60
2 10 87
9 13 8
9 1 49
13 7 22
5 7 7
3 14 67
8 13 67
8 4 7
7 11 83
10 15 65
6 4 12
14 2 99
13 4 65
2 1 86
12 7 13
4 5 7
8 5 56
3 4 13
12 2 34
9 12 93
1 5 9
7 10 29
1 11 97
12 8 45
3 5 24
13 12 90
14 11 5
13 3 40
14 5 15
9 5 92
10 14 94
2 3 3
4 15 43
2 15 73
8 15 61
9 14 1
15 13 10
4 2 53
5 2 37
3 9 60
3 8 19
15 3 95
8 2 15
14 15 6
7 9 91
2 11 48
10 4 19
12 15 100
6 2 62
5 6 35
10 6 62
9 2 83
8 1 2
12 1 27
12 10 87
12 5 74
4 14 29
11 15 19
8 6 11
9 11 64
11 13 58
12 14 15
8 9 46
1 15 64
9 10 63
9 6 16
1 6 52
3 1 100
11 12 91
11 3 61
15 7 41
7 1 25
13 2 51
13 1 25
7 2 71
7 6 94
5 11 83
6 13 33
5 10 58
3 12 85
7 3 94
1 10 54
11 4 26
14 6 35
8 14 86
11 10 99
10 13 90

15 105 8
7 6 68
2 13 4
4 9 76
13 6 68
13 14 61
8 10 23
15 3 40
12 6 46
2 14 53
14 8 84
4 1 48
15 9 83
14 7 90
8 1 95
3 7 43
9 8 95
7 1 9
9 11 8
2 6 94
3 10 71
7 5 59
12 5 49
12 4 26
13 9 72
9 10 38
7 12 26
7 11 19
8 5 45
12 3 6
13 1 91
4 7 60
5 4 93
15 2 9
3 2 83
5 3 51
7 10 91
15 10 1
4 10 54
8 11 11
12 14 87
7 13 3
5 2 27
13 3 42
10 2 94
2 7 27
4 6 84
13 12 95
2 8 90
15 4 51
2 12 79
9 1 19
8 12 4
1 6 88
7 9 76
6 3 88
15 6 89
9 14 94
13 15 54
11 12 37
4 3 15
11 5 89
11 2 91
11 10 14
14 11 68
10 1 9
6 11 85
15 14 48
13 4 26
5 13 57
5 15 10
3 14 44
15 12 31
8 4 33
14 6 99
6 8 40
1 5 82
11 4 28
9 2 30
9 6 77
14 4 81
10 13 68
1 3 21
13 11 69
5 6 58
4 2 59
15 1 64
10 12 62
3 8 93
6 10 82
1 14 77
1 11 75
12 9 1
2 1 0
10 14 50
9 3 3
7 15 65
8 15 67
9 5 96
5 10 74
12 1 95
8 7 69
11 15 80
3 11 86
13 8 12
14 5 82

15 105 8
5 11 46
10 14 89
6 14 95
12 2 27
8 4 64
6 11 85
4 7 13
11 1 80
14 11 90
4 3 78
3 5 38
11 7 36
4 10 48
7 14 61
8 10 78
8 9 46
1 4 6
15 4 45
9 7 7
5 4 12
1 2 61
4 6 33
6 1 59
7 1 81
12 11 10
4 11 98
11 10 57
14 12 24
7 3 98
7 13 75
2 10 22
8 7 39
2 5 9
13 8 26
9 4 81
3 1 91
4 2 13
1 14 87
6 3 61
15 3 42
3 8 91
12 15 53
14 8 57
12 13 79
12 8 28
11 3 7
12 6 6
11 13 45
5 7 23
3 14 90
7 2 70
9 2 45
7 6 41
7 12 33
8 11 81
15 10 57
8 2 31
3 9 97
14 13 58
5 12 52
5 14 2
14 4 9
12 9 93
15 9 67
5 1 30
13 5 62
4 12 60
14 15 93
13 9 22
2 3 53
2 11 16
13 1 82
1 15 43
1 8 54
15 7 7
12 1 81
10 13 54
10 1 66
3 10 38
8 6 36
15 5 40
13 6 25
13 2 93
15 11 18
3 12 14
15 13 36
1 9 87
9 10 17
5 6 56
12 10 71
10 5 43
3 13 10
9 6 76
14 9 83
10 6 22
5 8 24
10 7 61
14 2 28
6 15 2
9 11 70
4 13 78
2 15 96
8 15 19
5 9 17
6 2 79

15 105 8
15 2 40
4 1 92
4 9 73
4 11 3
6 4 37
3 12 86
8 11 28
13 4 18
1 2 98
13 15 88
12 8 47
15 9 33
7 2 8
4 7 84
3 10 86
15 14 82
15 11 45
6 10 66
3 2 90
5 14 35
8 2 25
15 6 20
9 7 37
5 9 90
8 13 92
1 5 16
9 2 92
2 14 90
1 9 52
14 8 61
11 9 5
9 14 37
13 5 99
10 13 75
7 11 63
15 1 79
4 2 91
12 4 27
14 6 11
12 2 71
6 11 82
12 7 56
13 3 73
4 14 13
1 3 4
12 14 67
3 7 44
13 12 55
14 1 48
1 10 1
13 2 65
6 8 69
13 7 23
3 9 36
1 6 67
3 8 51
9 8 5
11 10 100
10 9 54
2 10 52
1 11 66
7 8 52
11 2 7
4 3 95
11 13 86
14 13 1
14 3 82
7 5 40
5 11 33
5 3 70
12 11 62
15 4 85
7 1 52
10 5 9
6 7 51
14 11 68
1 13 57
10 15 21
4 10 2
5 2 72
10 12 10
3 15 99
7 14 77
12 6 15
13 6 30
15 12 30
4 8 61
6 5 98
6 9 16
11 3 51
9 12 33
6 2 13
12 5 52
15 8 4
15 5 13
7 10 60
3 6 42
1 12 29
10 8 49
8 5 9
4 5 7
8 1 49
10 14 45
13 9 67
