10 10
20 190 8
2 16 46
11 5 68
7 9 61
12 7 7
19 7 62
2 19 72
15 5 54
4 19 58
5 9 97
6 7 5
7 4 79
13 20 56
4 11 38
17 9 99
13 15 73
5 1 19
11 17 99
13 11 54
6 14 73
11 7 18
11 10 15
10 19 10
15 20 0
18 16 68
17 4 86
1 10 74
4 5 23
11 3 73
18 13 47
14 12 48
13 7 37
16 1 0
3 5 83
18 11 51
16 17 97
5 13 93
9 18 42
4 14 10
19 6 14
2 20 96
4 8 57
17 12 7
19 11 9
3 12 8
6 1 71
4 10 17
6 12 93
12 19 70
20 18 45
14 11 43
8 10 82
16 9 88
11 1 37
14 9 36
1 4 65
10 7 71
16 13 99
4 12 78
8 19 22
15 6 36
13 6 21
8 5 75
6 3 74
1 20 28
18 2 89
4 13 52
2 17 6
1 17 4
2 15 6
3 17 21
7 3 82
18 19 22
11 20 17
1 18 31
8 9 96
12 20 6
7 5 20
10 15 33
4 15 57
11 16 20
10 14 63
14 15 32
13 17 4
17 10 70
18 15 5
13 9 37
20 8 28
6 4 64
9 10 6
16 5 86
3 1 40
10 2 26
2 14 0
16 14 7
6 8 43
12 5 42
18 17 61
14 3 7
3 2 22
15 11 19
17 20 4
5 18 6
19 3 7
18 14 58
15 8 35
16 12 65
18 8 34
10 3 66
16 3 98
17 5 89
6 11 17
6 2 50
5 10 32
1 7 34
12 13 45
8 14 29
20 4 66
8 12 6
5 20 59
20 10 5
9 19 19
8 11 75
17 14 27
10 6 61
19 17 13
1 9 42
7 14 86
13 2 37
15 9 63
8 13 17
6 5 57
13 3 12
19 1 3
14 13 44
20 7 4
12 11 44
1 8 37
2 9 15
8 3 58
9 6 51
17 6 28
12 9 78
2 11 23
4 3 84
14 5 87
7 17 69
2 12 64
4 16 81
19 5 33
15 1 72
16 19 47
13 19 48
9 4 26
10 16 26
7 18 90
16 7 13
2 8 48
16 8 49
9 11 11
17 8 42
15 12 0
2 7 46
14 1 40
12 1 90
6 20 67
18 3 74
4 18 71
18 12 31
12 10 85
19 20 99
6 16 31
14 20 16
2 5 94
20 16 90
3 9 16
8 7 82
3 15 72
1 13 0
18 6 52
15 17 79
9 20 58
15 19 62
14 19 89
15 16 18
7 15 7
4 2 51
3 20 25
10 13 21
18 10 31
1 2 69

20 190 8
19 12 26
4 20 60
16 12 60
4 3 40
2 19 95
4 13 45
20 7 12
5 11 11
14 7 80
1 3 53
19 5 20
1 13 73
11 17 29
11 20 31
18 20 70
7 19 67
8 7 84
19 9 38
11 3 35
6 4 33
9 5 20
10 6 67
2 1 16
1 9 20
5 16 51
20 17 59
6 11 52
18 14 84
14 5 80
13 9 83
10 3 73
14 1 80
7 4 13
2 13 73
14 16 36
5 3 5
11 19 29
3 19 34
6 13 97
15 6 86
4 11 31
11 2 49
12 7 35
7 1 16
15 3 6
9 15 3
10 20 47
11 1 41
6 1 4
8 19 39
8 12 78
5 20 52
4 16 49
15 13 30
19 6 65
9 18 23
17 1 74
17 8 59
7 10 2
8 5 76
15 17 21
12 2 91
5 18 85
14 13 51
11 13 82
18 3 62
19 10 91
14 12 30
18 8 35
15 7 78
12 10 27
15 18 36
8 9 71
17 19 53
3 16 5
7 9 46
10 1 73
1 15 36
4 9 35
15 19 69
18 13 56
2 16 79
13 17 79
14 4 30
15 12 1
18 1 87
17 3 41
5 6 15
20 9 45
5 13 54
2 15 68
16 20 88
9 6 67
4 15 77
15 11 21
13 19 63
20 13 82
7 13 84
8 6 20
12 1 38
10 9 59
18 11 31
3 8 72
1 19 75
2 20 54
2 17 0
3 20 5
13 3 26
2 5 12
2 3 48
7 5 81
17 4 25
5 10 64
2 18 68
6 17 83
2 8 9
14 10 64
12 17 7
14 17 95
8 13 60
20 15 79
8 20 63
16 15 19
18 4 63
14 2 52
12 13 60
9 16 36
3 7 68
19 20 11
14 8 5
6 7 33
18 12 29
10 11 37
10 16 25
14 15 16
20 12 56
1 16 97
11 9 81
11 14 84
9 2 83
16 18 79
16 8 24
19 14 11
6 14 87
11 12 29
10 17 60
6 12 27
1 5 65
15 8 9
20 14 10
11 7 5
7 16 46
19 4 49
3 6 29
3 9 69
6 20 72
12 5 100
4 5 61
18 10 33
18 6 45
17 5 37
16 19 72
20 1 74
11 16 19
14 9 93
8 11 27
15 10 83
3 12 30
2 7 68
17 18 25
8 10 47
1 4 47
16 6 83
10 4 95
18 7 12
2 6 16
17 16 54
9 12 30
3 14 68
1 8 71
19 18 60
12 4 89
15 5 66
17 9 61
10 2 20
7 17 91
10 13 51
16 13 8
2 4 83
8 4 85

20 190 8
1 8 91
2 8 16
8 5 85
5 14 93
1 10 51
19 17 19
3 2 92
15 12 69
20 11 14
20 17 64
19 10 29
18 11 72
4 1 8
3 16 27
1 14 96
16 1 77
18 2 12
4 10 61
13 14 55
19 3 89
6 15 20
17 9 55
14 12 67
12 4 2
12 7 17
4 16 80
2 4 53
7 9 16
4 5 30
13 18 55
14 4 10
20 8 93
15 10 68
17 5 66
6 1 36
14 9 35
10 14 40
11 14 81
7 6 77
16 6 54
15 8 14
14 7 88
20 19 97
12 17 80
12 18 32
12 3 20
11 19 61
17 1 55
6 19 16
11 10 33
12 5 56
20 2 66
19 8 35
14 3 60
19 16 25
7 11 72
12 19 95
8 10 42
14 17 67
10 17 26
4 19 61
8 13 22
18 16 13
16 8 66
1 13 58
10 6 34
9 1 11
13 9 40
12 16 95
5 1 97
20 4 44
4 7 24
15 16 17
20 15 54
17 13 24
5 13 29
17 11 9
1 3 52
7 16 92
16 5 33
3 20 34
13 15 77
10 13 15
4 8 54
17 7 73
20 13 0
19 13 58
5 11 88
2 13 17
3 13 98
20 9 90
16 13 21
18 6 78
12 2 94
20 12 33
10 7 21
9 2 18
16 20 74
13 6 28
6 9 69
18 9 63
1 11 39
8 7 7
19 1 67
16 9 91
15 5 0
8 14 53
10 16 30
4 9 0
7 18 87
4 13 17
6 3 8
6 5 67
20 10 7
8 11 35
1 2 83
19 2 9
16 2 43
18 10 57
9 3 37
14 15 81
18 8 56
17 18 88
8 12 87
9 8 22
15 18 54
11 16 59
3 8 23
15 7 43
12 6 32
19 5 17
19 15 95
13 7 67
15 1 70
5 20 0
13 11 36
11 3 89
10 3 84
6 8 92
17 2 77
5 18 85
19 9 45
17 6 69
18 3 94
3 7 40
7 5 75
18 4 28
16 14 92
9 5 40
14 2 47
4 11 82
17 3 65
12 10 93
18 14 11
17 16 47
1 18 7
20 14 29
12 11 45
3 15 81
1 7 89
11 6 18
12 9 74
2 6 56
20 18 27
4 3 0
17 8 6
5 2 47
2 11 94
11 9 85
1 12 27
11 15 14
4 17 53
2 7 53
6 14 3
6 20 45
20 1 69
13 12 71
5 10 2
15 9 61
19 7 92
5 3 13
10 2 23
18 19 25
19 14 100
15 17 69
7 20 8
4 6 21
15 4 78
9 10 52
2 15 62

20 190 8
4 3 38
19 1 69
6 16 59
20 15 6
12 17 89
9 17 86
19 5 19
7 5 24
5 15 75
18 19 22
5 10 83
1 12 18
11 2 29
14 17 34
4 9 52
2 1 60
17 13 74
18 7 96
11 16 42
7 2 83
11 3 75
20 1 3
6 17 17
8 14 69
20 13 100
15 8 0
13 15 72
4 5 98
11 4 62
5 16 91
19 4 22
19 16 2
13 1 70
2 13 45
11 8 56
20 18 4
2 20 30
4 6 67
18 15 61
12 16 25
3 12 95
10 9 3
1 4 40
13 18 46
14 19 40
9 12 23
16 14 50
16 4 91
14 10 61
10 17 93
6 13 94
11 17 57
12 13 5
6 18 75
8 13 77
15 19 62
8 6 31
1 18 66
12 5 2
12 4 12
4 13 33
20 19 68
5 14 87
13 11 83
19 13 85
8 20 14
7 11 6
10 15 35
19 12 38
4 17 91
20 3 99
6 10 52
10 20 61
14 13 77
8 4 1
14 6 69
2 6 46
11 10 24
16 8 43
14 11 47
16 3 29
10 7 88
12 15 53
13 3 19
9 11 82
6 3 84
12 11 90
10 19 14
14 3 22
7 6 45
14 20 33
9 18 91
15 16 55
9 16 58
1 8 4
17 20 33
10 12 35
6 11 27
9 2 46
4 7 44
8 12 79
15 1 64
5 11 74
6 12 99
2 15 91
12 7 49
8 10 75
9 20 100
8 18 16
20 11 88
9 5 1
16 18 81
18 17 93
16 20 72
8 7 68
12 20 20
13 9 77
5 3 46
1 14 41
2 19 95
8 17 76
3 2 34
16 13 7
19 7 15
12 18 73
14 15 44
16 2 14
3 15 72
3 1 90
15 17 4
1 17 24
10 4 38
14 7 76
14 4 54
17 16 55
20 6 39
5 2 43
18 10 94
5 6 42
18 2 51
1 16 55
3 9 99
5 1 66
7 9 98
7 15 1
3 18 92
9 14 97
3 7 42
14 12 31
6 19 80
15 9 38
19 9 93
7 20 70
16 10 46
18 5 72
18 11 15
4 15 47
7 17 99
15 11 84
9 8 79
19 8 40
10 3 85
1 6 96
3 8 27
9 6 14
3 17 8
3 19 4
9 1 29
13 5 8
2 17 2
20 5 14
11 19 56
8 2 15
5 8 95
17 19 42
10 13 29
7 13 30
2 14 82
11 1 84
15 6 16
1 7 75
7 16 49
12 2 56
1 10 60
17 5 53
10 2 88
2 4 86
4 20 12
4 18 77
14 18 2

20 190 8
5 20 56
16 5 32
11 17 48
15 18 62
16 13 38
11 9 89
1 14 22
5 8 20
5 10 29
9 3 10
6 17 75
15 16 80
7 16 78
8 13 97
14 2 57
6 13 9
14 11 22
2 12 95
19 17 71
10 7 23
20 1 71
1 13 70
19 9 92
1 3 86
15 2 12
20 3 84
19 10 82
1 10 76
15 7 16
8 16 50
12 6 65
2 5 21
2 13 34
20 8 80
10 15 53
12 7 23
12 17 12
12 4 100
16 1 29
13 7 22
3 18 96
19 6 81
2 10 88
19 11 77
16 17 50
7 2 9
17 13 94
4 17 20
3 8 97
12 16 43
13 9 99
19 5 89
15 13 39
20 9 68
1 9 61
9 5 76
16 19 11
10 20 27
10 4 35
18 4 1
12 19 68
15 6 68
15 9 55
10 11 82
18 9 8
17 9 4
11 8 13
12 14 22
9 4 50
13 19 66
2 20 4
13 3 100
4 1 19
11 7 76
11 5 59
9 14 7
5 18 69
18 1 21
6 8 91
14 20 1
20 19 50
8 7 86
13 12 8
1 5 46
15 19 69
6 11 88
11 12 42
16 10 68
13 14 47
15 1 27
2 9 41
8 2 23
1 11 78
4 5 98
12 15 33
7 1 48
2 11 12
9 16 69
4 6 6
15 11 10
16 14 51
10 9 29
8 15 30
3 14 5
9 8 38
17 10 64
7 6 50
2 1 73
20 12 75
17 20 24
13 20 40
2 16 4
6 1 55
17 18 45
2 3 98
4 14 75
12 18 90
4 15 42
6 5 49
16 4 20
3 16 8
18 19 65
15 14 93
11 13 29
6 16 1
5 12 83
5 7 40
7 17 70
3 5 20
17 3 72
7 18 1
14 17 69
4 2 37
14 8 20
18 20 18
19 8 56
11 18 55
1 19 4
4 7 68
5 14 25
10 14 57
18 8 99
20 11 87
3 6 88
14 19 98
14 7 86
7 3 41
4 8 42
9 12 73
11 3 31
12 10 99
15 17 96
2 17 22
4 19 39
18 10 9
3 15 68
4 3 35
12 3 6
20 6 83
18 6 97
15 20 82
17 8 28
6 10 57
7 20 50
1 12 31
9 7 19
16 18 37
4 20 87
3 10 95
18 13 64
17 5 17
19 3 57
8 1 100
5 13 19
19 7 31
6 14 95
16 20 42
6 9 97
13 4 65
15 5 16
18 2 59
11 4 1
10 8 16
17 1 82
12 8 6
2 19 77
2 6 90
18 14 9
11 16 97
13 10 14

20 190 8
1 19 41
6 5 66
3 17 86
8 2 54
17 1 6
9 5 86
3 8 9
3 11 32
6 11 15
11 18 61
10 6 98
19 4 78
7 20 94
15 19 16
18 1 18
4 14 58
10 7 68
7 11 88
3 13 75
3 10 100
4 13 79
19 20 6
13 11 96
2 13 32
8 17 59
9 6 46
9 2 77
20 13 46
4 20 96
9 18 47
16 11 80
15 14 100
4 3 15
16 5 53
9 14 8
17 13 35
4 16 53
18 13 40
8 20 1
13 5 79
16 13 75
1 5 74
9 19 79
7 17 41
20 18 6
9 4 66
3 9 95
18 16 88
8 18 12
16 2 14
5 19 78
8 6 22
4 15 75
11 4 41
4 5 88
8 15 46
18 19 63
12 14 79
6 16 55
5 8 50
1 7 51
5 3 17
17 5 66
18 6 15
12 9 42
14 18 72
5 20 28
14 6 99
12 8 71
8 16 86
1 13 39
4 6 21
15 3 52
3 7 78
15 9 87
16 3 66
15 1 65
6 17 1
10 19 44
12 7 92
20 10 67
2 11 10
6 12 98
16 12 88
3 2 41
20 1 15
10 13 69
4 2 1
19 2 74
8 9 85
8 19 51
15 13 79
10 8 79
17 19 80
18 7 21
11 20 3
9 1 38
4 10 38
19 6 75
8 14 78
19 14 50
7 5 78
5 12 16
10 11 66
12 11 27
10 15 32
3 18 32
14 7 46
5 15 68
20 17 65
16 10 2
6 20 6
9 10 7
17 14 31
3 20 44
7 8 65
6 13 25
5 11 49
10 14 80
4 1 66
9 20 18
14 13 43
14 16 46
1 10 40
6 15 4
16 1 55
19 12 19
10 5 62
4 17 1
11 19 16
10 18 82
1 11 2
16 17 46
7 19 27
8 4 21
2 20 10
2 1 97
2 7 2
17 18 28
13 7 46
14 20 64
20 15 27
20 12 95
18 2 10
2 6 34
13 8 76
3 1 50
18 12 31
4 18 1
14 2 99
13 9 37
12 2 100
16 20 83
7 15 90
12 4 15
12 13 11
14 11 92
1 12 42
17 11 25
4 7 2
2 5 28
14 1 23
19 16 40
18 5 22
11 9 21
15 16 22
17 12 99
10 2 24
7 6 37
9 7 17
6 1 63
12 15 80
19 3 78
10 17 92
14 3 64
11 8 60
2 17 68
11 15 73
17 9 85
9 16 66
17 15 70
12 3 53
2 15 61
12 10 54
8 1 0
13 19 51
5 14 1
7 16 15
6 3 33
18 15 64

20 190 8
17 7 5
14 7 69
8 16 27
17 9 17
20 5 84
15 18 39
11 1 68
3 8 98
4 19 63
13 1 26
3 10 43
2 16 38
10 5 62
17 11 36
19 5 55
9 1 43
5 8 32
8 19 39
6 15 41
6 12 2
10 17 80
14 6 22
4 13 13
